lgcode,name,lat,lng
01101,旭ケ丘一丁目,43.044001792,141.319856069
01101,旭ケ丘二丁目,43.040544774,141.321194625
01101,旭ケ丘三丁目,43.040408697,141.320239317
01101,旭ケ丘四丁目,43.038365073,141.324277224
01101,旭ケ丘五丁目,43.038398988,141.321997998
01101,旭ケ丘六丁目,43.038662688,141.321209040
01101,大通西二十丁目,43.056852510,141.326861551
01101,大通西二十一丁目,43.056693195,141.325679296
01101,大通西二十二丁目,43.056510328,141.324315425
01101,大通西二十三丁目,43.056320684,141.322900110
01101,大通西二十四丁目,43.056145324,141.321601344
01101,大通西二十五丁目,43.055957636,141.320214890
01101,大通西二十六丁目,43.055762187,141.318757214
01101,大通西二十七丁目,43.055562092,141.317267146
01101,大通西二十八丁目,43.055345487,141.315664502
01101,北一条西二十丁目,43.058123965,141.326708457
01101,北一条西二十一丁目,43.057943815,141.325371531
01101,北一条西二十二丁目,43.057762044,141.324011014
01101,北一条西二十三丁目,43.057577695,141.322646863
01101,北一条西二十四丁目,43.057395268,141.321307894
01101,北一条西二十五丁目,43.057118344,141.320000397
01101,北一条西二十六丁目,43.056859873,141.318531304
01101,北一条西二十七丁目,43.056761953,141.316979715
01101,北一条西二十八丁目,43.056539295,141.315502484
01101,北二条西二十丁目,43.059858666,141.326269778
01101,北二条西二十一丁目,43.059648239,141.324726016
01101,北二条西二十二丁目,43.059456546,141.323603672
01101,北二条西二十三丁目,43.059271612,141.322245127
01101,北二条西二十四丁目,43.059088637,141.320904051
01101,北二条西二十五丁目,43.059008913,141.319523203
01101,北二条西二十六丁目,43.059221279,141.318150633
01101,北二条西二十七丁目,43.058742708,141.316574510
01101,北二条西二十八丁目,43.058406560,141.315060518
01101,北三条西二十丁目,43.061068653,141.325959719
01101,北三条西二十一丁目,43.061115308,141.322965579
01101,北三条西二十二丁目,43.060636186,141.323198680
01101,北三条西二十三丁目,43.060465624,141.321959142
01101,北三条西二十四丁目,43.060284401,141.320619590
01101,北三条西二十五丁目,43.061106384,141.318378159
01101,北三条西二十六丁目,43.060253464,141.317089255
01101,北三条西二十七丁目,43.059684666,141.316287001
01101,北三条西二十八丁目,43.059473949,141.314742312
01101,北三条西二十九丁目,43.060111365,141.313241196
01101,北三条西三十丁目,43.059104305,141.312001401
01101,北四条西二十丁目,43.062281247,141.325658030
01101,北四条西二十一丁目,43.062368206,141.323024593
01101,北四条西二十二丁目,43.061884783,141.322772669
01101,北四条西二十三丁目,43.061658800,141.321676341
01101,北四条西二十四丁目,43.061475261,141.320345326
